Timestamp,Level,Source_IP,Message
2025-07-01 00:01:46,INFO,81.171.173.80,Session refreshed for user 'api-service'
2025-07-01 00:05:20,INFO,130.200.168.241,POST /api/data HTTP/1.1 200 1245 - python-requests/2.31
2025-07-01 00:10:11,INFO,222.244.49.40,User 'api-service' logged out
2025-07-01 00:17:15,INFO,20.165.172.67,GET /dashboard HTTP/1.1 302 2048 - Chrome/120.0
2025-07-01 00:35:21,INFO,174.154.223.77,POST /api/data HTTP/1.1 200 5321 - python-requests/2.31
2025-07-01 00:42:21,INFO,144.241.190.112,GET /home HTTP/1.1 200 0 - Mozilla/5.0
2025-07-01 00:44:28,INFO,26.95.40.178,GET /about.html HTTP/1.1 304 1245 - curl/7.88.1
2025-07-01 00:44:33,INFO,86.209.122.132,User 'api-service' logged out
2025-07-01 00:48:13,INFO,143.120.242.201,GET /home HTTP/1.1 200 5321 - Mozilla/5.0
2025-07-01 00:50:09,INFO,197.20.204.215,POST /api/data HTTP/1.1 200 4096 - python-requests/2.31
2025-07-01 00:57:25,INFO,185.136.147.147,GET /about.html HTTP/1.1 304 0 - curl/7.88.1
2025-07-01 01:02:45,INFO,170.159.181.138,GET /dashboard HTTP/1.1 302 4096 - Chrome/120.0
2025-07-01 01:05:38,INFO,141.197.103.36,Session refreshed for user 'bob'
2025-07-01 01:06:53,INFO,187.197.222.93,User 'admin' logged out
2025-07-01 01:11:00,INFO,94.82.134.92,POST /api/data HTTP/1.1 200 5321 - python-requests/2.31
2025-07-01 01:11:35,INFO,170.159.181.138,Successful login for user 'bob'
2025-07-01 01:16:21,INFO,170.159.181.138,Successful login for user 'alice'
2025-07-01 01:19:15,INFO,170.159.181.138,File access: /var/www/main.css
2025-07-01 01:36:20,INFO,146.208.123.39,Successful login for user 'alice'
2025-07-01 01:38:18,INFO,211.75.38.11,Session refreshed for user 'bob'
2025-07-01 01:38:43,INFO,23.52.124.163,Session refreshed for user 'admin'
2025-07-01 01:44:06,INFO,99.214.231.28,GET /home HTTP/1.1 200 5321 - Mozilla/5.0
2025-07-01 01:45:33,INFO,34.150.240.22,Successful login for user 'api-service'
2025-07-01 01:50:22,INFO,142.155.76.140,POST /api/data HTTP/1.1 200 1245 - python-requests/2.31
2025-07-01 01:53:45,INFO,15.48.68.41,User 'admin' logged out
2025-07-01 01:54:30,INFO,124.26.145.192,GET /about.html HTTP/1.1 304 5321 - curl/7.88.1
2025-07-01 02:03:28,INFO,170.159.181.138,GET /about.html HTTP/1.1 304 0 - curl/7.88.1
2025-07-01 02:04:54,INFO,93.91.166.75,User 'alice' logged out
2025-07-01 02:06:03,INFO,130.32.92.0,File access: /var/www/index.html
2025-07-01 02:06:38,INFO,150.111.149.125,User 'api-service' logged out
2025-07-01 02:07:09,INFO,218.210.21.11,GET /about.html HTTP/1.1 304 2048 - curl/7.88.1
2025-07-01 02:07:29,INFO,88.235.148.86,User 'bob' logged out
2025-07-01 02:08:17,INFO,139.135.139.109,POST /api/data HTTP/1.1 200 5321 - python-requests/2.31
2025-07-01 02:08:53,INFO,54.43.184.73,POST /api/data HTTP/1.1 200 0 - python-requests/2.31
2025-07-01 02:09:04,INFO,88.65.213.136,GET /home HTTP/1.1 200 1245 - Mozilla/5.0
2025-07-01 02:09:28,INFO,170.159.181.138,User 'charlie' logged out
2025-07-01 02:10:23,INFO,170.159.181.138,GET /about.html HTTP/1.1 304 4096 - curl/7.88.1
2025-07-01 02:10:46,INFO,170.159.181.138,GET /about.html HTTP/1.1 304 2048 - curl/7.88.1
2025-07-01 02:11:10,INFO,9.33.98.49,Session refreshed for user 'api-service'
2025-07-01 02:14:04,INFO,91.140.132.137,GET /dashboard HTTP/1.1 302 5321 - Chrome/120.0
2025-07-01 02:14:06,INFO,64.95.23.156,GET /about.html HTTP/1.1 304 5321 - curl/7.88.1
2025-07-01 02:17:19,INFO,4.249.4.104,File access: /var/www/index.html
2025-07-01 02:17:41,INFO,67.128.189.198,Successful login for user 'alice'
2025-07-01 02:19:56,INFO,87.219.131.171,Session refreshed for user 'charlie'
2025-07-01 02:20:06,INFO,114.224.60.244,User 'testuser' logged out
2025-07-01 02:21:03,INFO,170.159.181.138,File access: /var/www/contact.html
2025-07-01 02:21:45,INFO,201.200.151.126,GET /about.html HTTP/1.1 304 5321 - curl/7.88.1
2025-07-01 02:22:45,INFO,170.159.181.138,Successful login for user 'alice'
2025-07-01 02:23:41,INFO,85.133.110.221,POST /api/data HTTP/1.1 200 5321 - python-requests/2.31
2025-07-01 02:25:20,INFO,107.219.87.209,Successful login for user 'admin'
2025-07-01 02:25:22,INFO,212.77.254.186,POST /api/data HTTP/1.1 200 2048 - python-requests/2.31
2025-07-01 02:25:50,INFO,170.159.181.138,GET /home HTTP/1.1 200 1245 - Mozilla/5.0
2025-07-01 02:27:05,INFO,92.218.89.116,GET /home HTTP/1.1 200 4096 - Mozilla/5.0
2025-07-01 02:28:18,INFO,85.3.14.6,User 'bob' logged out
2025-07-01 02:28:23,INFO,121.214.15.129,GET /dashboard HTTP/1.1 302 0 - Chrome/120.0
2025-07-01 02:30:49,INFO,170.159.181.138,GET /dashboard HTTP/1.1 302 4096 - Chrome/120.0
2025-07-01 02:32:07,INFO,166.75.74.67,GET /home HTTP/1.1 200 0 - Mozilla/5.0
2025-07-01 02:35:36,INFO,42.151.43.27,GET /home HTTP/1.1 200 2048 - Mozilla/5.0
2025-07-01 02:36:05,INFO,208.180.178.77,GET /home HTTP/1.1 200 4096 - Mozilla/5.0
2025-07-01 02:37:24,INFO,219.113.143.7,GET /home HTTP/1.1 200 1245 - Mozilla/5.0
2025-07-01 02:39:26,INFO,128.219.59.37,GET /home HTTP/1.1 200 1245 - Mozilla/5.0
2025-07-01 02:40:17,INFO,219.72.233.27,GET /dashboard HTTP/1.1 302 1245 - Chrome/120.0
2025-07-01 02:40:21,INFO,203.42.71.182,POST /api/data HTTP/1.1 200 2048 - python-requests/2.31
2025-07-01 02:47:38,INFO,22.131.122.72,GET /about.html HTTP/1.1 304 1245 - curl/7.88.1
2025-07-01 02:47:50,INFO,208.140.130.210,User 'bob' logged out
2025-07-01 02:51:09,INFO,114.208.36.239,User 'testuser' logged out
2025-07-01 02:53:51,INFO,170.159.181.138,Successful login for user 'api-service'
2025-07-01 02:55:21,INFO,129.14.203.238,GET /home HTTP/1.1 200 2048 - Mozilla/5.0
2025-07-01 02:55:55,INFO,43.30.82.104,User 'testuser' logged out
2025-07-01 02:56:21,INFO,29.203.188.119,GET /about.html HTTP/1.1 304 5321 - curl/7.88.1
2025-07-01 02:59:28,INFO,193.232.81.192,POST /api/data HTTP/1.1 200 1245 - python-requests/2.31
2025-07-01 03:01:22,INFO,116.10.234.74,User 'admin' logged out
2025-07-01 03:07:54,INFO,170.159.181.138,GET /about.html HTTP/1.1 304 1245 - curl/7.88.1
